"lab_number","order_id","trial_number","fribble_set","fractal_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","time_order_index","stimulus_type_order","familiar_role","location_order","familiar_stimulus","novel_stimulus","familiar_stimulus_item","novel_stimulus_item","complexity_condition","familiarization_time","familiar_stimulus_path","novel_stimulus_path","familiar_location_1","familiar_location_2","left_image_path_1","right_image_path_1","left_image_path_2","right_image_path_2","test_time_1","test_time_2","familiarization_time_timeout"
18,282,1,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_simple_pair1_a_bright","fractal_simple_pair1_b_bright","pair1_a","pair1_b","simple",10,"stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","left","right","stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_a_bright.png",5,5,20
18,282,2,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_complex_pair2_a_bright","fractal_complex_pair2_b_bright","pair2_a","pair2_b","complex",5,"stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png","right","left","stimuli/images//fractal_complex_pair2_b_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png",5,5,10
18,282,3,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_complex_pair3_a_bright","fractal_complex_pair3_b_bright","pair3_a","pair3_b","complex",15,"stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","right","left","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png",5,5,30
18,282,4,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_simple_pair4_a_bright","fractal_simple_pair4_b_bright","pair4_a","pair4_b","simple",15,"stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","left","right","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png",5,5,30
18,282,5,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_complex_pair5_a_bright","fractal_complex_pair5_b_bright","pair5_a","pair5_b","complex",5,"stimuli/images//fractal_complex_pair5_a_bright.png","stimuli/images//fractal_complex_pair5_b_bright.png","left","right","stimuli/images//fractal_complex_pair5_a_bright.png","stimuli/images//fractal_complex_pair5_b_bright.png","stimuli/images//fractal_complex_pair5_b_bright.png","stimuli/images//fractal_complex_pair5_a_bright.png",5,5,10
18,282,6,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","fractal_simple_pair6_a_bright","fractal_simple_pair6_b_bright","pair6_a","pair6_b","simple",10,"stimuli/images//fractal_simple_pair6_a_bright.png","stimuli/images//fractal_simple_pair6_b_bright.png","right","left","stimuli/images//fractal_simple_pair6_b_bright.png","stimuli/images//fractal_simple_pair6_a_bright.png","stimuli/images//fractal_simple_pair6_a_bright.png","stimuli/images//fractal_simple_pair6_b_bright.png",5,5,20
18,282,7,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","Pacman_Simple","Cylinder_Simple","Pacman","Cylinder","simple",15,"stimuli/images//Pacman_Simple.png","stimuli/images//Cylinder_Simple.png","left","right","stimuli/images//Pacman_Simple.png","stimuli/images//Cylinder_Simple.png","stimuli/images//Cylinder_Simple.png","stimuli/images//Pacman_Simple.png",5,5,30
18,282,8,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","Bowtie_Complex","Arrow_Complex","Bowtie","Arrow","complex",5,"stimuli/images//Bowtie_Complex.png","stimuli/images//Arrow_Complex.png","right","left","stimuli/images//Arrow_Complex.png","stimuli/images//Bowtie_Complex.png","stimuli/images//Bowtie_Complex.png","stimuli/images//Arrow_Complex.png",5,5,10
18,282,9,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","Tripod_Complex","Bowl_Complex","Tripod","Bowl","complex",10,"stimuli/images//Tripod_Complex.png","stimuli/images//Bowl_Complex.png","left","right","stimuli/images//Tripod_Complex.png","stimuli/images//Bowl_Complex.png","stimuli/images//Bowl_Complex.png","stimuli/images//Tripod_Complex.png",5,5,20
18,282,10,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","Crinkle_Simple","Diamond_Simple","Crinkle","Diamond","simple",5,"stimuli/images//Crinkle_Simple.png","stimuli/images//Diamond_Simple.png","left","right","stimuli/images//Crinkle_Simple.png","stimuli/images//Diamond_Simple.png","stimuli/images//Diamond_Simple.png","stimuli/images//Crinkle_Simple.png",5,5,10
18,282,11,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","Pyramid_Simple","Gumdrop_Simple","Pyramid","Gumdrop","simple",10,"stimuli/images//Pyramid_Simple.png","stimuli/images//Gumdrop_Simple.png","right","left","stimuli/images//Gumdrop_Simple.png","stimuli/images//Pyramid_Simple.png","stimuli/images//Pyramid_Simple.png","stimuli/images//Gumdrop_Simple.png",5,5,20
18,282,12,"set_2","set_1","order_1","base_block","base",2,2,"fractal_first",0,"loc_order_1","SimsDiamond_Complex","Pumpkin_Complex","SimsDiamond","Pumpkin","complex",15,"stimuli/images//SimsDiamond_Complex.png","stimuli/images//Pumpkin_Complex.png","right","left","stimuli/images//Pumpkin_Complex.png","stimuli/images//SimsDiamond_Complex.png","stimuli/images//SimsDiamond_Complex.png","stimuli/images//Pumpkin_Complex.png",5,5,30
